anime_id,studios
371,J.C.Staff
372,Gonzo
373,Sunrise
374,Sunrise
375,Sunrise
376,Sunrise
377,Sunrise
378,"Studio Deen"
379,Madhouse
380,Daume
381,AIC
382,"Production I.G"
383,"TMS Entertainment"
384,"Studio Pierrot"
385,Madhouse
386,"AIC ASTA"
387,Gainax
387,Shaft
388,"WAO World"
389,"Studio Ghibli"
390,"Studio Ghibli"
391,"G&G Entertainment"
393,"Studio Deen"
394,"Studio 4Â°C"
395,"Studio Fantasia"
396,"Studio Fantasia"
397,"Studio Fantasia"
398,Sunrise
399,"Nippon Animation"
400,Madhouse
401,Gonzo
401,"Production I.G"
402,Gonzo
403,Gonzo
404,Bones
405,"Studio Ghibli"
406,"Ashi Production"
407,"CoMix Wave Films"
408,AIC
409,"Tokyo Movie Shinsha"
410,Madhouse
411,"Arcs Create"
412,"animate Film"
413,J.C.Staff
414,J.C.Staff
415,"Studio Pierrot"
416,Daume
417,"Studio Deen"
418,"Production I.G"
418,Xebec
419,ufotable
420,Plum
420,"Magic Bus"
421,Madhouse
422,Sunrise
423,Sunrise
424,Sunrise
425,"Kyoto Animation"
425,Sunrise
426,"Bee Train"
427,"Nippon Animation"
428,J.C.Staff
429,Artland
430,OLM
431,"Toei Animation"
432,"Toei Animation"
433,"Toei Animation"
434,"Toei Animation"
435,"Toei Animation"
436,"Toei Animation"
437,"Toei Animation"
438,"Production I.G"
439,"Production I.G"
440,"Production I.G"
441,J.C.Staff
442,Madhouse
443,OLM
444,OLM
445,"Telecom Animation Film"
446,"Triangle Staff"
447,Sunrise
448,Karaku
449,"Hal Film Maker"
450,Satelight
450,"Production Reed"
451,"Studio Deen"
452,Gallop
453,Gallop
454,Bones
455,"Studio Pierrot"
456,"Magic Bus"
457,A.C.G.T.
458,"AIC Spirits"
459,Daume
460,"Brain's Base"
461,Shaft
462,AIC
463,AIC
464,Xebec
465,Madhouse
466,"Studio Deen"
467,AIC
468,Madhouse
470,"Toei Animation"
473,"Hal Film Maker"
474,Eiken
475,Plum
476,"TMS Entertainment"
477,TNK
478,Arms
479,"Trinet Entertainment"
480,"Studio Ghibli"
481,"Studio Ghibli"
482,Daume
483,"Triangle Staff"
484,Sunrise
485,"Studio Comet"
486,"Production Reed"
487,J.C.Staff
489,Actas
489,SynergySP
490,Madhouse
491,"Studio Ghibli"
492,Daume
493,"Production I.G"
494,"Production I.G"
495,OLM
496,OLM
497,Gonzo
498,"Toei Animation"
499,"Toei Animation"
500,"Toei Animation"
501,J.C.Staff
502,"E&G Films"
503,"E&G Films"
504,J.C.Staff
505,"Studio Deen"
506,AIC
507,AIC
508,AIC
