anime_id,source_id,source
9788,NULL,NULL
9789,NULL,NULL
9790,NULL,NULL
9791,2,Manga
9792,3,Lightnovel
9793,1,Original
9794,2,Manga
9795,2,Manga
9796,1,Original
9797,1,Original
9798,1,Original
9799,NULL,NULL
9800,NULL,NULL
9801,NULL,NULL
9802,NULL,NULL
9803,NULL,NULL
9804,NULL,NULL
9805,NULL,NULL
9806,NULL,NULL
9807,NULL,NULL
9808,NULL,NULL
9809,NULL,NULL
9810,NULL,NULL
9811,NULL,NULL
9812,9,Picturebook
9813,NULL,NULL
9814,NULL,NULL
9815,NULL,NULL
9816,NULL,NULL
9817,8,Other
9818,NULL,NULL
9819,NULL,NULL
9820,NULL,NULL
9821,NULL,NULL
9822,1,Original
9823,NULL,NULL
9824,4,Game
9825,NULL,NULL
9826,2,Manga
9827,NULL,NULL
9828,1,Original
9829,1,Original
9830,7,Novel
9831,1,Original
9832,7,Novel
9833,NULL,NULL
9834,1,Original
9835,1,Original
9836,1,Original
9837,1,Original
9838,1,Original
9839,NULL,NULL
9840,1,Original
9841,1,Original
9842,NULL,NULL
9843,1,Original
9844,10,Webmanga
9845,3,Lightnovel
9846,2,Manga
9847,2,Manga
9848,1,Original
9849,NULL,NULL
9850,1,Original
9851,1,Original
9852,1,Original
9853,1,Original
9854,5,Visualnovel
9855,2,Manga
9856,11,Music
9857,4,Game
9858,NULL,NULL
9859,1,Original
9860,NULL,NULL
9861,2,Manga
9862,NULL,NULL
9863,2,Manga
9864,NULL,NULL
9865,1,Original
9866,NULL,NULL
9867,2,Manga
9868,NULL,NULL
9869,2,Manga
9870,2,Manga
9871,4,Game
9872,1,Original
9873,NULL,NULL
9874,NULL,NULL
9875,NULL,NULL
9876,NULL,NULL
9877,3,Lightnovel
9878,2,Manga
9879,2,Manga
9880,1,Original
9881,1,Original
9882,1,Original
9883,4,Game
9884,1,Original
9885,1,Original
9886,1,Original
9887,2,Manga
9888,4,Game
9889,5,Visualnovel
9890,2,Manga
9891,2,Manga
9892,2,Manga
9893,2,Manga
9894,NULL,NULL
9895,1,Original
9896,2,Manga
9897,1,Original
9898,3,Lightnovel
9899,6,4-komamanga
9900,6,4-komamanga
9901,6,4-komamanga
9902,4,Game
9903,NULL,NULL
9904,2,Manga
9905,4,Game
9906,NULL,NULL
9907,NULL,NULL
9908,NULL,NULL
9909,2,Manga
9910,NULL,NULL
9911,2,Manga
9912,2,Manga
9913,NULL,NULL
9914,2,Manga
9915,2,Manga
9916,15,Digitalmanga
9917,7,Novel
9918,1,Original
9919,1,Original
9920,NULL,NULL
9921,1,Original
9922,1,Original
9923,9,Picturebook
9924,10,Webmanga
9925,3,Lightnovel
9926,1,Original
9927,1,Original
9928,6,4-komamanga
9929,NULL,NULL
9930,5,Visualnovel
9931,5,Visualnovel
9932,2,Manga
9933,10,Webmanga
9934,5,Visualnovel
9935,5,Visualnovel
9936,9,Picturebook
9937,5,Visualnovel
9938,1,Original
9939,1,Original
9940,1,Original
9941,NULL,NULL
9942,NULL,NULL
9943,2,Manga
9944,NULL,NULL
9945,NULL,NULL
9946,NULL,NULL
9947,NULL,NULL
9948,10,Webmanga
9949,5,Visualnovel
9950,NULL,NULL
9951,1,Original
9952,1,Original
9953,1,Original
9954,NULL,NULL
9955,NULL,NULL
9956,1,Original
9957,NULL,NULL
9958,NULL,NULL
9959,NULL,NULL
9960,NULL,NULL
9961,NULL,NULL
9962,NULL,NULL
9963,3,Lightnovel
9964,NULL,NULL
9965,NULL,NULL
9966,NULL,NULL
9967,NULL,NULL
9968,NULL,NULL
9969,NULL,NULL
9970,NULL,NULL
9971,NULL,NULL
9972,3,Lightnovel
9973,NULL,NULL
9974,NULL,NULL
9975,3,Lightnovel
9976,NULL,NULL
9977,2,Manga
9978,1,Original
9979,NULL,NULL
9980,NULL,NULL
9981,11,Music
9982,1,Original
9983,NULL,NULL
9984,NULL,NULL
9985,1,Original
9986,NULL,NULL
9987,NULL,NULL
9988,1,Original
9989,NULL,NULL
9990,NULL,NULL
9991,NULL,NULL
9992,NULL,NULL
9993,NULL,NULL
9994,NULL,NULL
9995,NULL,NULL
9996,NULL,NULL
9997,1,Original
9998,NULL,NULL
9999,NULL,NULL
10000,NULL,NULL
