anime_id,rating,rating_description
11451,G,"All Ages"
11452,G,"All Ages"
11453,G,"All Ages"
11454,G,"All Ages"
11455,PG13,"Teens 13 or older"
11456,G,"All Ages"
11457,G,"All Ages"
11458,G,"All Ages"
11459,PG13,"Teens 13 or older"
11460,G,"All Ages"
11461,Rx,Hentai
11462,R17+,"violence & profanity"
11463,PG,Children
11464,PG13,"Teens 13 or older"
11465,PG,Children
11466,PG13,"Teens 13 or older"
11467,R17+,"violence & profanity"
11468,PG13,"Teens 13 or older"
11469,PG13,"Teens 13 or older"
11470,PG,Children
11471,G,"All Ages"
11472,PG,Children
11473,PG13,"Teens 13 or older"
11474,PG13,"Teens 13 or older"
11475,R+,"Mild Nudity"
11476,G,"All Ages"
11477,PG,Children
11478,G,"All Ages"
11479,PG,Children
11480,PG,Children
11481,PG13,"Teens 13 or older"
11482,G,"All Ages"
11483,G,"All Ages"
11484,G,"All Ages"
11485,G,"All Ages"
11486,G,"All Ages"
11487,G,"All Ages"
11488,G,"All Ages"
11489,G,"All Ages"
11490,G,"All Ages"
11491,PG13,"Teens 13 or older"
11492,PG,Children
11493,PG,Children
11494,G,"All Ages"
11495,PG,Children
11496,G,"All Ages"
11497,PG,Children
11498,G,"All Ages"
11499,G,"All Ages"
11500,G,"All Ages"
11501,G,"All Ages"
11502,G,"All Ages"
11503,PG13,"Teens 13 or older"
11504,G,"All Ages"
11505,G,"All Ages"
11506,G,"All Ages"
11507,G,"All Ages"
11508,G,"All Ages"
11509,G,"All Ages"
11510,G,"All Ages"
11511,PG13,"Teens 13 or older"
11512,PG13,"Teens 13 or older"
11513,G,"All Ages"
11514,G,"All Ages"
11515,G,"All Ages"
11516,G,"All Ages"
11517,G,"All Ages"
11518,G,"All Ages"
11519,G,"All Ages"
11520,G,"All Ages"
11521,G,"All Ages"
11522,PG,Children
11523,PG13,"Teens 13 or older"
11524,G,"All Ages"
11525,G,"All Ages"
11526,PG,Children
11527,PG13,"Teens 13 or older"
11528,G,"All Ages"
11529,PG,Children
11530,PG,Children
11531,G,"All Ages"
11532,PG13,"Teens 13 or older"
11533,PG13,"Teens 13 or older"
11534,PG13,"Teens 13 or older"
11535,G,"All Ages"
11536,PG13,"Teens 13 or older"
11537,PG,Children
11538,PG,Children
11539,PG,Children
11540,PG,Children
11541,PG,Children
11542,G,"All Ages"
11543,G,"All Ages"
11544,G,"All Ages"
11545,PG13,"Teens 13 or older"
11546,PG13,"Teens 13 or older"
11547,PG,Children
11548,PG,Children
11549,PG,Children
11550,PG,Children
11551,PG,Children
11552,G,"All Ages"
11553,R17+,"violence & profanity"
11554,PG13,"Teens 13 or older"
11555,PG13,"Teens 13 or older"
11556,PG13,"Teens 13 or older"
11557,G,"All Ages"
11558,PG,Children
11559,Rx,Hentai
11560,PG13,"Teens 13 or older"
11561,PG13,"Teens 13 or older"
11562,PG13,"Teens 13 or older"
11563,G,"All Ages"
11564,PG13,"Teens 13 or older"
11565,G,"All Ages"
11566,PG13,"Teens 13 or older"
11567,G,"All Ages"
11568,G,"All Ages"
11569,PG,Children
11570,PG,Children
11571,G,"All Ages"
11572,PG13,"Teens 13 or older"
11573,G,"All Ages"
11574,G,"All Ages"
11575,G,"All Ages"
11576,G,"All Ages"
11577,G,"All Ages"
11578,G,"All Ages"
11579,G,"All Ages"
11580,G,"All Ages"
11581,PG13,"Teens 13 or older"
11582,Rx,Hentai
11583,R+,"Mild Nudity"
11584,R17+,"violence & profanity"
11585,G,"All Ages"
11586,PG13,"Teens 13 or older"
11587,PG13,"Teens 13 or older"
11588,PG13,"Teens 13 or older"
11589,Rx,Hentai
11590,PG,Children
11591,G,"All Ages"
11592,PG13,"Teens 13 or older"
11593,PG13,"Teens 13 or older"
11594,PG13,"Teens 13 or older"
11595,G,"All Ages"
11596,PG13,"Teens 13 or older"
11597,PG13,"Teens 13 or older"
11598,PG13,"Teens 13 or older"
11599,G,"All Ages"
11600,PG,Children
11601,PG,Children
11602,PG,Children
11603,R17+,"violence & profanity"
11604,Rx,Hentai
11605,G,"All Ages"
11606,PG13,"Teens 13 or older"
11607,PG13,"Teens 13 or older"
11608,R17+,"violence & profanity"
11609,PG13,"Teens 13 or older"
11610,PG13,"Teens 13 or older"
11611,G,"All Ages"
11612,PG,Children
11613,G,"All Ages"
11614,R17+,"violence & profanity"
11615,G,"All Ages"
11616,G,"All Ages"
11617,PG13,"Teens 13 or older"
11618,PG13,"Teens 13 or older"
11619,PG,Children
11620,G,"All Ages"
11621,PG13,"Teens 13 or older"
11622,G,"All Ages"
11623,G,"All Ages"
11624,PG13,"Teens 13 or older"
11625,PG13,"Teens 13 or older"
11626,PG13,"Teens 13 or older"
11627,PG13,"Teens 13 or older"
11628,PG,Children
11629,G,"All Ages"
11630,PG13,"Teens 13 or older"
11631,PG13,"Teens 13 or older"
11632,PG13,"Teens 13 or older"
11633,R+,"Mild Nudity"
11634,PG13,"Teens 13 or older"
11635,R17+,"violence & profanity"
11636,PG13,"Teens 13 or older"
11637,PG13,"Teens 13 or older"
11638,G,"All Ages"
11639,G,"All Ages"
11640,PG13,"Teens 13 or older"
11641,PG13,"Teens 13 or older"
11642,PG13,"Teens 13 or older"
11643,PG13,"Teens 13 or older"
11644,PG13,"Teens 13 or older"
11645,Rx,Hentai
11646,PG13,"Teens 13 or older"
11647,PG,Children
11648,PG13,"Teens 13 or older"
11649,PG13,"Teens 13 or older"
11650,Rx,Hentai
11651,R17+,"violence & profanity"
11652,G,"All Ages"
11653,G,"All Ages"
11654,R17+,"violence & profanity"
11655,PG,Children
11656,PG13,"Teens 13 or older"
11657,PG,Children
11658,PG13,"Teens 13 or older"
11659,PG13,"Teens 13 or older"
11660,PG13,"Teens 13 or older"
11661,PG13,"Teens 13 or older"
11662,PG13,"Teens 13 or older"
11663,PG13,"Teens 13 or older"
11664,PG13,"Teens 13 or older"
11665,PG13,"Teens 13 or older"
11666,PG13,"Teens 13 or older"
11667,PG13,"Teens 13 or older"
11668,R17+,"violence & profanity"
11669,PG13,"Teens 13 or older"
11670,R17+,"violence & profanity"
11671,PG13,"Teens 13 or older"
11672,PG13,"Teens 13 or older"
11673,PG13,"Teens 13 or older"
11674,PG13,"Teens 13 or older"
11675,PG13,"Teens 13 or older"
11676,PG13,"Teens 13 or older"
11677,PG13,"Teens 13 or older"
11678,PG13,"Teens 13 or older"
11679,G,"All Ages"
11680,PG13,"Teens 13 or older"
11681,PG13,"Teens 13 or older"
11682,R17+,"violence & profanity"
11683,PG13,"Teens 13 or older"
11684,R17+,"violence & profanity"
11685,R17+,"violence & profanity"
11686,R17+,"violence & profanity"
11687,PG,Children
11688,G,"All Ages"
11689,G,"All Ages"
11690,G,"All Ages"
11691,PG13,"Teens 13 or older"
11692,R17+,"violence & profanity"
11693,PG13,"Teens 13 or older"
11694,PG13,"Teens 13 or older"
11695,PG13,"Teens 13 or older"
11696,PG,Children
11697,G,"All Ages"
11698,G,"All Ages"
11699,PG13,"Teens 13 or older"
11700,PG13,"Teens 13 or older"
11701,G,"All Ages"
11702,G,"All Ages"
11703,PG,Children
11704,G,"All Ages"
11705,PG13,"Teens 13 or older"
11706,PG,Children
11707,PG13,"Teens 13 or older"
11708,PG13,"Teens 13 or older"
11709,PG13,"Teens 13 or older"
11710,G,"All Ages"
11711,PG13,"Teens 13 or older"
11712,G,"All Ages"
11713,Rx,Hentai
11714,G,"All Ages"
11715,G,"All Ages"
11716,G,"All Ages"
11717,PG13,"Teens 13 or older"
11718,G,"All Ages"
11719,G,"All Ages"
11720,G,"All Ages"
11721,PG13,"Teens 13 or older"
11722,PG13,"Teens 13 or older"
11723,G,"All Ages"
11724,G,"All Ages"
11725,G,"All Ages"
11726,Rx,Hentai
11727,PG13,"Teens 13 or older"
11728,R17+,"violence & profanity"
11729,NULL,NULL
11730,G,"All Ages"
11731,G,"All Ages"
11732,G,"All Ages"
11733,G,"All Ages"
11734,G,"All Ages"
