anime_id,source
967,Manga
968,Manga
969,"Light novel"
970,"Visual novel"
971,NULL
972,Original
973,"Visual novel"
974,"Visual novel"
975,Original
976,Game
977,NULL
978,Game
979,Manga
980,Original
981,Novel
982,NULL
983,Original
984,Manga
985,Manga
986,"Visual novel"
987,Original
988,Manga
989,Original
990,Original
991,Original
992,Original
993,Original
994,Manga
995,Manga
996,Original
997,Original
998,"Visual novel"
999,"Light novel"
1000,NULL
1001,Novel
1002,NULL
1003,NULL
1004,Original
1005,Original
1006,NULL
1007,Original
1008,Novel
1009,Manga
1010,Manga
1011,Manga
1012,Original
1013,Original
1014,"Visual novel"
1015,Manga
1016,Novel
1017,Game
1018,Game
1019,Game
1020,Game
1021,Game
1022,Game
1023,Manga
1024,"Light novel"
1025,Original
1026,Manga
1027,Manga
1028,Manga
1029,Original
1030,Original
1031,Original
1032,Original
1033,Original
1034,Original
1035,Game
1036,Novel
1037,Original
1038,NULL
1039,Manga
1040,Original
1041,NULL
1042,Original
1043,Original
1044,Original
1045,Novel
1046,Original
1047,NULL
1048,Manga
1049,Manga
1050,Manga
1051,NULL
1052,Game
1053,Original
1054,Game
1055,Manga
1056,Manga
1057,NULL
1058,Manga
1059,Manga
1060,Original
1061,"Light novel"
1062,Game
1063,Game
1064,Manga
1065,NULL
1066,Original
1067,"Light novel"
1068,"Light novel"
1069,"Light novel"
1070,Original
1071,Original
1072,Original
1073,Manga
1074,Original
1075,Original
1076,Manga
1077,Manga
1078,Original
1079,Game
1080,"Light novel"
1081,Original
1082,Original
1083,Manga
1084,"4-koma manga"
1085,Manga
1086,Manga
1087,Novel
1088,Original
1089,"Light novel"
1090,Original
1091,"Light novel"
1092,Manga
1093,"Visual novel"
1094,Manga
1095,Original
1096,Game
1097,NULL
1098,Original
1099,Original
1100,Novel
1101,Manga
1102,Novel
1103,Manga
1104,Novel
1105,Original
1106,Original
1107,Manga
1108,Original
1109,Manga
1110,Manga
1111,Manga
1112,Manga
1113,Original
1114,Other
1115,Manga
1116,NULL
1117,"Card game"
1118,Manga
1119,Novel
1120,Manga
1121,Manga
1122,Original
1123,NULL
1124,NULL
1125,Manga
1126,Original
1127,Manga
1128,Original
1129,Manga
1130,Manga
1131,Manga
1132,Manga
1133,Original
1134,Manga
1135,Original
1136,Manga
1137,Manga
1138,NULL
1139,Game
1140,Game
1141,Manga
1142,Original
1143,Original
1144,Manga
1145,Manga
1146,NULL
1147,NULL
1148,Manga
1149,NULL
1150,Manga
1151,NULL
1152,Original
1153,Original
1154,"Visual novel"
1155,Original
1156,NULL
1157,NULL
1158,NULL
1159,"Card game"
1160,Manga
1161,Manga
1162,Manga
1163,Manga
1164,Manga
1165,NULL
1166,"Visual novel"
1167,Game
1168,Game
1169,Manga
1170,Novel
1171,Original
1172,Original
1173,Manga
1174,"Visual novel"
1175,Original
1176,Original
1177,Original
1178,Original
1179,Original
1180,Original
1181,Original
1182,Manga
1183,Original
1184,Original
1185,Original
1186,Original
1187,Original
1188,Manga
1189,Manga
1190,Manga
1191,Other
1192,Manga
1193,Original
1194,Original
1195,Original
1196,Manga
1197,Manga
1198,Manga
1199,Manga
1200,Manga
1201,Manga
1202,Novel
1203,NULL
1204,NULL
1205,Original
1206,NULL
1207,NULL
1208,Manga
1209,Manga
1210,NULL
1211,Manga
1212,NULL
1213,NULL
1214,Manga
1215,Manga
1216,Novel
1217,Original
1218,Original
1219,Original
1220,Original
1221,Original
1222,Original
1223,Original
1224,NULL
1225,NULL
1226,Manga
1227,Novel
1228,Manga
1229,"Visual novel"
1230,"Visual novel"
1231,Game
1232,Game
1233,Manga
1234,Manga
1235,Manga
1236,Manga
1237,Manga
1238,Manga
1239,Manga
1240,Other
1241,Manga
1242,Manga
1243,Manga
1244,Manga
1245,Novel
1246,NULL
1247,NULL
1248,NULL
1249,"Light novel"
1250,Original
1251,"Light novel"
1252,NULL
1253,Manga
1254,Manga
1255,NULL
1256,"Visual novel"
1257,"Visual novel"
1258,"Visual novel"
1259,"Visual novel"
1260,Manga
1261,Original
1262,NULL
1263,NULL
1264,NULL
1265,NULL
1266,NULL
1267,Original
1268,Original
1269,Original
1270,Original
1271,"Visual novel"
1272,"Visual novel"
1273,"Visual novel"
1274,"Visual novel"
1275,Novel
1276,"Visual novel"
1277,NULL
1278,"Visual novel"
1279,Original
1280,Original
1281,Original
1282,Manga
1283,Manga
1284,NULL
1285,NULL
1286,Manga
1287,Manga
1288,NULL
1289,Manga
1290,NULL
1291,NULL
1292,NULL
1293,NULL
1294,Manga
1295,Manga
1296,Manga
1297,Manga
1298,Manga
1299,Manga
1300,Manga
1301,Manga
1302,Manga
1303,Manga
1304,Manga
1305,Manga
1306,NULL
1307,NULL
1308,NULL
1309,NULL
1310,Original
1311,Novel
1312,Novel
1313,Original
1314,NULL
1315,Manga
1316,Original
1317,Original
1318,Novel
1319,NULL
1320,Manga
1321,Original
1322,Novel
1323,Original
1324,Original
1325,Original
1326,Original
1327,NULL
1328,Manga
1329,Manga
1330,Original
1331,Manga
1332,Game
1333,Manga
1334,Manga
1335,Manga
1336,Manga
1337,Manga
1338,NULL
1339,NULL
1340,Manga
1341,NULL
1342,NULL
1343,NULL
1344,Manga
1345,Manga
1346,Manga
1347,Manga
1348,Manga
1349,Manga
1350,Original
1351,Manga
1352,Original
1353,Original
1354,Manga
1355,Manga
1356,Manga
1357,Manga
1358,NULL
1359,Manga
1360,Original
1361,"Light novel"
1362,NULL
1363,Manga
1364,NULL
1365,NULL
1366,NULL
1367,NULL
1368,Manga
1369,Manga
1370,Manga
1371,Manga
1372,"Visual novel"
1373,NULL
1374,"Visual novel"
1375,"Visual novel"
1376,Manga
1377,NULL
1378,Manga
1379,Manga
1380,Manga
1381,Manga
1382,Manga
1383,Original
1384,Game
1385,Game
1386,Game
1387,Original
1388,Game
1389,"Visual novel"
1390,"Light novel"
1391,"Visual novel"
1392,Manga
1393,Original
1394,Manga
1395,Manga
1396,Manga
1397,Manga
1398,NULL
1399,NULL
1400,Manga
1401,Original
1402,"Visual novel"
1403,Game
1404,Manga
1405,Manga
1406,Manga
1407,Manga
1408,Manga
1409,Manga
1410,Manga
1411,Manga
1412,Game
1413,Manga
1414,"Light novel"
1415,NULL
1416,Manga
1417,Game
1418,"Visual novel"
1419,Manga
1420,Manga
1421,Game
1422,Game
1423,Manga
1424,Manga
1425,Manga
1426,"Visual novel"
1427,"Visual novel"
1428,"Light novel"
1429,Manga
1430,Manga
1431,NULL
1432,Original
1433,Original
1434,Manga
1435,Game
1436,"Visual novel"
1437,Manga
1438,"Visual novel"
1439,Manga
1440,Manga
1441,Original
1442,Game
1443,"Visual novel"
1444,Original
1445,"Light novel"
1446,Manga
1447,NULL
1448,Other
1449,Manga
1450,"4-koma manga"
1451,Original
1452,NULL
1453,Original
1454,NULL
1455,NULL
1456,Manga
1457,NULL
1458,Original
1459,Original
1460,Game
1461,Manga
1462,Manga
1463,Manga
1464,Manga
1465,Original
1466,NULL
1467,NULL
1468,Manga
1469,Manga
1470,Novel
1471,Manga
1472,Manga
1473,"Visual novel"
1474,Original
1475,Original
1476,NULL
1477,"Visual novel"
1478,Manga
