anime_id,duration
944,"30 min. per ep."
945,"30 min. per ep."
946,"25 min. per ep."
947,"46 min."
948,"54 min."
949,"50 min. per ep."
950,"1 hr. 22 min."
951,"24 min. per ep."
952,"24 min. per ep."
953,"6 min."
954,"25 min. per ep."
955,"1 hr. 3 min."
956,"25 min. per ep."
957,"32 min. per ep."
958,"26 min. per ep."
959,"30 min. per ep."
960,"6 min. per ep."
961,"19 min."
962,"3 min. per ep."
963,"25 min. per ep."
964,"28 min. per ep."
965,"8 min. per ep."
966,"1 min. per ep."
967,"30 min. per ep."
968,"25 min. per ep."
969,"6 min. per ep."
970,"25 min. per ep."
971,"25 min. per ep."
972,"23 min. per ep."
973,"24 min. per ep."
974,"26 min."
975,"11 min. per ep."
976,"26 min."
977,"32 min."
978,"50 min."
979,"10 min."
980,"34 min. per ep."
981,"37 min. per ep."
982,"25 min. per ep."
983,"24 min. per ep."
984,"24 min. per ep."
985,"29 min. per ep."
986,"40 min. per ep."
987,"23 min. per ep."
988,"25 min. per ep."
989,"25 min. per ep."
990,"1 hr. 55 min."
991,"2 hr. 20 min."
992,"2 hr. 15 min."
993,"2 hr. 20 min."
994,"23 min. per ep."
995,"49 min."
996,"1 hr. 39 min."
997,"1 hr. 48 min."
998,"26 min. per ep."
999,"23 min. per ep."
1000,"1 hr."
1001,"30 min. per ep."
1002,"59 min."
1003,"6 min. per ep."
1004,"25 min. per ep."
1005,"25 min. per ep."
1006,"3 min. per ep."
1007,"28 min."
1008,"1 hr. 22 min."
1009,"24 min. per ep."
1010,"24 min."
1011,"25 min. per ep."
1012,"1 hr. 26 min."
1013,"1 hr. 18 min."
1014,"30 min. per ep."
1015,"37 min."
1016,"1 hr. 39 min."
1017,"1 hr. 20 min."
1018,"1 hr. 31 min."
1019,"1 hr. 19 min."
1020,"1 hr. 14 min."
1021,"1 hr. 21 min."
1022,"1 hr. 38 min."
1023,"24 min. per ep."
1024,"25 min."
1025,"47 min. per ep."
1026,"23 min. per ep."
1027,"23 min. per ep."
1028,"24 min."
1029,"1 hr. 40 min."
1030,"23 min. per ep."
1031,"24 min. per ep."
1032,"1 hr."
1033,"24 min. per ep."
1034,"23 min. per ep."
1035,"24 min. per ep."
1036,"25 min. per ep."
1037,"1 hr. 35 min."
1038,"2 hr. 16 min."
1039,"23 min. per ep."
1040,"24 min."
1041,"1 hr. 35 min."
1042,"23 min. per ep."
1043,"43 min."
1044,"30 min."
1045,"47 min. per ep."
1046,"23 min. per ep."
1047,"45 min. per ep."
1048,"36 min. per ep."
1049,"30 min. per ep."
1050,"52 min. per ep."
1051,"1 hr. 20 min."
1052,"30 min. per ep."
1053,"27 min. per ep."
1054,"24 min. per ep."
1055,"30 min. per ep."
1056,"25 min. per ep."
1057,"1 hr. 25 min."
1058,"24 min. per ep."
1059,"30 min. per ep."
1060,"15 min. per ep."
1061,"23 min. per ep."
1062,"30 min. per ep."
1063,"30 min. per ep."
1064,"24 min. per ep."
1065,"37 min. per ep."
1066,"45 min. per ep."
1067,"29 min. per ep."
1068,"29 min. per ep."
1069,"23 min. per ep."
1070,"54 min."
1071,"25 min. per ep."
1072,"36 min. per ep."
1073,"28 min. per ep."
1074,"52 min. per ep."
1075,"25 min. per ep."
1076,"24 min. per ep."
1077,"30 min. per ep."
1078,"30 min. per ep."
1079,"30 min. per ep."
1080,"22 min. per ep."
1081,"32 min. per ep."
1082,"22 min. per ep."
1083,"23 min. per ep."
1084,"6 min. per ep."
1085,"24 min. per ep."
1086,"30 min."
1087,"27 min. per ep."
1088,"25 min."
1089,"24 min. per ep."
1090,"24 min. per ep."
1091,"23 min. per ep."
1092,"5 min. per ep."
1093,"25 min. per ep."
1094,"10 min."
1095,"24 min. per ep."
1096,"24 min."
1097,"1 hr. 39 min."
1098,"22 min."
1099,"3 min. per ep."
1100,"56 min."
1101,"1 hr. 36 min."
1102,"1 hr. 15 min."
1103,"47 min."
1104,"24 min. per ep."
1105,"1 hr. 55 min."
1106,"25 min. per ep."
1107,"24 min. per ep."
1108,"15 min. per ep."
1109,"30 min."
1110,"30 min."
1111,"24 min. per ep."
1112,"24 min. per ep."
1113,"27 min."
1114,"25 min. per ep."
1115,"25 min. per ep."
1116,"6 min."
1117,"24 min. per ep."
1118,"45 min. per ep."
