anime_id,episodes,aired,premiered
381,6,Aug-1992,NULL
382,1,Nov-2000,NULL
383,13,Feb-2005,"Winter 2005"
384,45,Apr-2003,"Spring 2003"
385,1,Sep-2005,NULL
386,26,Jul-2005,"Summer 2005"
387,12,Apr-2005,"Spring 2005"
388,1,Jul-2005,NULL
389,1,Jul-1999,NULL
390,1,Jul-1992,NULL
391,26,Apr-2004,"Spring 2004"
392,1,Nov-1991,NULL
393,26,Jul-2002,"Summer 2002"
394,1,Sep-1998,NULL
395,13,Jan-2003,"Winter 2003"
396,2,May-2004,NULL
397,6,Mar-2005,NULL
398,24,Jul-1985,"Summer 1985"
399,2,Mar-2002,NULL
400,4,Mar-1994,NULL
401,51,Apr-2003,"Spring 2003"
402,1,Sep-2004,NULL
403,1,Dec-2005,NULL
404,1,Jul-2005,NULL
405,1,Nov-2004,NULL
406,6,Jun-1994,NULL
407,1,Nov-2004,NULL
408,1,Jul-1989,NULL
409,20,Oct-1994,"Fall 1994"
410,1,Feb-1998,NULL
411,3,Feb-2004,NULL
412,2,Jun-1991,NULL
413,39,Apr-1997,"Spring 1997"
414,1,Aug-1999,NULL
415,1,Aug-2004,NULL
416,1,Oct-2002,NULL
417,13,Jul-2004,"Summer 2004"
418,13,Jan-2001,"Winter 2001"
419,13,Nov-2002,"Fall 2002"
420,25,Apr-1998,"Spring 1998"
421,2,Mar-2005,NULL
422,1,Dec-2004,NULL
423,1,Dec-2002,NULL
424,1,Dec-2003,NULL
425,1,Dec-2001,NULL
426,1,Nov-2003,NULL
427,26,Oct-2004,"Fall 2004"
428,26,Apr-2005,"Spring 2005"
429,26,Oct-2005,"Fall 2005"
430,3,Apr-1997,NULL
431,1,Mar-2000,NULL
432,1,Mar-2001,NULL
433,1,Mar-2002,NULL
434,1,Mar-2003,NULL
435,1,Mar-2004,NULL
436,1,Mar-2005,NULL
437,1,Mar-2006,NULL
438,1,Jul-1998,NULL
439,26,Oct-2002,"Fall 2002"
440,1,Mar-2004,NULL
441,24,Nov-2005,"Fall 2005"
442,13,Jul-2005,"Summer 2005"
443,13,Oct-2005,"Fall 2005"
444,13,Apr-1999,"Spring 1999"
445,12,Jul-2005,"Summer 2005"
446,4,Aug-1994,NULL
447,1,Aug-2005,NULL
448,12,Oct-2005,"Fall 2005"
449,13,Oct-2005,"Fall 2005"
450,26,Apr-2005,"Spring 2005"
451,51,Apr-2005,"Spring 2005"
452,224,Apr-2000,"Spring 2000"
453,180,Oct-2004,"Fall 2004"
454,24,Jun-2004,"Summer 2004"
455,1,Aug-2001,NULL
456,26,Jan-2005,"Winter 2005"
457,13,Apr-2003,"Spring 2003"
458,13,Jan-2005,"Winter 2005"
459,12,Jul-2005,"Summer 2005"
460,12,Jun-2005,"Summer 2005"
461,26,Jul-2005,"Summer 2005"
462,1,Jun-2002,NULL
463,1,Apr-1996,NULL
464,26,Oct-1995,"Fall 1995"
465,1,Mar-1985,NULL
466,13,Oct-2003,"Fall 2003"
467,3,Sep-1987,NULL
468,1,Oct-1988,NULL
469,26,Apr-1973,"Spring 1973"
470,1,Dec-1986,NULL
471,2,Jun-2005,NULL
472,1,Jul-1994,NULL
473,51,Apr-2005,"Spring 2005"
474,23,Apr-1984,"Spring 1984"
475,2,Jul-1999,NULL
476,296,Jul-2000,"Summer 2000"
477,13,Jul-2001,"Summer 2001"
478,13,Oct-2004,"Fall 2004"
479,13,Jul-2005,"Summer 2005"
480,1,Jul-1989,NULL
481,1,Aug-1986,NULL
482,3,Apr-2004,NULL
483,1,Jul-1995,NULL
484,358,Apr-2004,"Spring 2004"
485,2,Dec-2005,NULL
486,63,Mar-1982,"Spring 1982"
487,26,Jan-2005,"Winter 2005"
488,1,Mar-1995,NULL
489,52,Apr-2003,"Spring 2003"
490,1,May-2001,NULL
491,1,Apr-1988,NULL
492,1,Apr-2004,NULL
493,26,Jul-2004,"Summer 2004"
494,6,Dec-1993,NULL
495,276,Apr-1997,"Spring 1997"
496,1,Jul-1998,NULL
497,13,Jul-2002,"Summer 2002"
498,46,Mar-1992,"Spring 1992"
499,1,Dec-1993,NULL
500,38,Mar-1994,"Spring 1994"
501,13,Apr-2004,"Spring 2004"
502,26,Apr-1995,"Spring 1995"
503,26,Apr-1996,"Spring 1996"
504,1,Jul-1995,NULL
505,2,Jan-1998,NULL
506,26,Apr-1997,"Spring 1997"
507,6,Sep-1992,NULL
508,6,Sep-1994,NULL
509,6,Sep-2003,NULL
510,1,Aug-2000,NULL
511,1,Mar-1989,NULL
512,12,Apr-2003,"Spring 2003"
513,13,Jun-2004,"Summer 2004"
514,3,Jun-2004,NULL
515,1,Jul-2003,NULL
516,27,Apr-1998,"Spring 1998"
517,24,Jul-2001,"Summer 2001"
518,54,Mar-1999,"Spring 1999"
519,13,Oct-2000,"Fall 2000"
520,24,Oct-1999,"Fall 1999"
521,12,Apr-2001,"Spring 2001"
522,3,Apr-2001,NULL
523,4,Jul-2000,NULL
524,26,Dec-2005,"Winter 2006"
525,1,Aug-2003,NULL
526,1,Dec-2005,NULL
527,25,Apr-2000,"Spring 2000"
528,3,Oct-2004,NULL
529,12,Oct-1994,"Fall 1994"
530,2,Mar-2001,NULL
531,1,Jul-2004,NULL
532,4,Jul-1996,NULL
533,26,Oct-1999,"Fall 1999"
534,26,Oct-1998,"Fall 1998"
535,26,Jan-1993,"Winter 1993"
536,1,Jun-2000,NULL
537,6,Feb-1993,NULL
538,1,Mar-1984,NULL
539,25,Oct-1996,"Fall 1996"
540,6,Dec-2005,NULL
541,13,Jan-2006,"Winter 2006"
542,13,Jan-2006,"Winter 2006"
543,1,Apr-1988,NULL
544,15,Oct-2003,"Fall 2003"
545,10,Nov-2001,"Fall 2001"
546,2,Sep-2000,NULL
547,48,Jan-1998,"Winter 1998"
548,24,Oct-2005,"Fall 2005"
549,1,Jul-1995,NULL
550,11,Jan-2006,"Winter 2006"
551,6,Jan-2006,"Winter 2006"
552,2,Dec-2005,NULL
553,21,Apr-1986,"Spring 1986"
554,12,Jan-2006,"Winter 2006"
555,12,Jul-2005,"Summer 2005"
556,26,Oct-2003,"Fall 2003"
557,26,Oct-1999,"Fall 1999"
558,1,Dec-2003,NULL
559,1,Aug-2001,NULL
560,1,Jun-2003,NULL
561,1,Jul-2002,NULL
562,13,Oct-2000,"Fall 2000"
563,4,Aug-1994,NULL
564,12,Apr-2005,"Spring 2005"
565,1,Feb-2001,NULL
566,7,May-1992,NULL
567,49,Feb-2004,"Winter 2004"
568,26,Apr-1998,"Spring 1998"
569,26,Apr-1999,"Spring 1999"
570,13,Jan-2000,"Winter 2000"
571,39,Jul-2006,"Summer 2006"
572,1,Dec-2001,NULL
573,2,Aug-2005,NULL
574,12,Mar-2003,"Spring 2003"
575,24,Oct-2002,"Fall 2002"
576,13,Jul-2005,"Summer 2005"
577,52,Nov-2004,"Fall 2004"
578,13,Jul-2005,"Summer 2005"
579,5,Aug-2002,NULL
580,35,Jul-1995,"Summer 1995"
581,1,Jun-1993,NULL
582,13,Apr-2003,"Spring 2003"
583,1,Nov-1991,NULL
584,13,Oct-2003,"Fall 2003"
585,12,Jul-1998,"Summer 1998"
586,2,May-2004,NULL
587,25,Jan-2002,"Winter 2002"
588,12,Jan-2003,"Winter 2003"
589,3,Dec-2003,NULL
590,22,Oct-1998,"Fall 1998"
591,26,Nov-2004,"Fall 2004"
592,6,May-1996,NULL
593,13,Jul-1999,"Summer 1999"
594,1,Aug-2003,NULL
595,1,Dec-2001,NULL
596,13,Apr-1998,"Spring 1998"
597,13,Apr-2004,"Spring 2004"
598,13,Apr-1999,"Spring 1999"
599,13,Jan-2004,"Winter 2004"
600,16,Feb-1999,"Winter 1999"
601,1,Dec-2005,NULL
602,1,Sep-2004,NULL
603,2,Dec-2005,NULL
604,1,Jan-2004,NULL
605,12,Apr-1997,"Spring 1997"
606,2,Mar-2002,NULL
607,13,Jun-2004,"Summer 2004"
608,12,Apr-2004,"Spring 2004"
609,3,Nov-1995,NULL
610,1,May-2004,NULL
611,9,Feb-2002,"Winter 2002"
612,26,Oct-2002,"Fall 2002"
613,2,Nov-2003,NULL
614,13,Jul-2004,"Summer 2004"
615,2,Aug-2005,NULL
616,26,Oct-2005,"Fall 2005"
617,1,Dec-2001,NULL
618,8,Jun-2000,NULL
619,4,Nov-1997,NULL
620,1,Mar-2005,NULL
621,7,May-2000,NULL
622,6,Nov-1993,NULL
623,12,Jan-2006,"Winter 2006"
624,13,Apr-2005,"Spring 2005"
625,3,Dec-2004,NULL
626,12,Oct-2005,"Fall 2005"
627,13,Jan-2006,"Winter 2006"
628,27,Jan-2005,NULL
629,4,Aug-2001,NULL
630,3,Jun-2000,NULL
631,12,Apr-1998,"Spring 1998"
632,26,Jul-1998,"Summer 1998"
633,3,Sep-1996,NULL
634,1,Jan-2004,NULL
635,12,Oct-2001,"Fall 2001"
636,2,Mar-2002,NULL
637,11,Mar-2003,"Spring 2003"
638,13,Oct-2004,"Fall 2004"
639,7,Jan-2006,NULL
640,52,Apr-2002,"Spring 2002"
641,12,Oct-2004,"Fall 2004"
642,1,Apr-2005,NULL
643,26,Oct-1997,"Fall 1997"
644,124,Oct-1989,"Fall 1989"
645,4,Mar-1998,NULL
646,12,Jan-2004,"Winter 2004"
647,24,Oct-2005,"Fall 2005"
648,2,Dec-2001,NULL
649,26,Apr-1995,"Spring 1995"
650,1,May-2003,NULL
651,1,Aug-2004,NULL
652,13,Apr-2005,"Spring 2005"
653,4,Jan-2003,NULL
654,26,Jan-2002,"Winter 2002"
655,52,Oct-2003,"Fall 2003"
656,9,Feb-2006,"Winter 2006"
657,1,Aug-1977,NULL
658,50,Apr-2005,"Spring 2005"
659,1,Feb-2005,NULL
660,86,Oct-1985,"Fall 1985"
661,3,Apr-1998,NULL
662,16,Nov-1998,"Fall 1998"
663,2,Aug-1992,NULL
664,38,Aug-2002,"Summer 2002"
665,1,Nov-1997,NULL
666,1,Apr-1992,NULL
667,2,Apr-2004,NULL
668,1,Feb-2000,NULL
669,54,Jan-1991,"Winter 1991"
670,48,Mar-1987,"Spring 1987"
671,2,Apr-1994,NULL
672,1,Dec-2003,NULL
673,1,Dec-1985,NULL
674,2,Aug-1994,NULL
675,1,Mar-2001,NULL
676,1,Jul-1995,NULL
677,102,Apr-2005,"Spring 2005"
678,43,Mar-1993,"Spring 1993"
679,1,Dec-2004,NULL
680,1,May-1993,NULL
681,20,Oct-1999,"Fall 1999"
682,2,Nov-2005,NULL
683,2,Mar-2005,NULL
684,3,Sep-2003,NULL
685,12,Oct-2004,"Fall 2004"
686,12,Feb-2006,"Winter 2006"
687,52,Oct-2002,"Fall 2002"
688,1,Jul-1994,NULL
689,2,May-2003,NULL
690,36,May-2005,"Spring 2005"
691,3,Dec-1994,NULL
692,1,Feb-2005,NULL
693,1,Jul-2000,NULL
694,1,Apr-2003,NULL
695,1,Nov-2003,NULL
696,1,Mar-2005,NULL
697,1,May-2003,NULL
698,1,Dec-2004,NULL
699,67,Sep-1999,"Fall 1999"
700,26,Jan-2001,"Winter 2001"
701,3,Jul-2004,NULL
702,1,Jul-2004,NULL
703,1,Mar-1991,NULL
704,4,Apr-1996,NULL
705,1,Dec-2005,NULL
706,13,Jan-2006,"Winter 2006"
707,4,Jun-1999,NULL
708,12,Jan-2003,"Winter 2003"
709,10,Feb-2006,NULL
710,1,Apr-1997,NULL
711,1,Apr-1998,NULL
712,1,Apr-1999,NULL
713,25,Oct-1998,"Fall 1998"
714,13,Feb-2000,"Winter 2000"
715,2,Sep-1991,NULL
716,13,Apr-2004,"Spring 2004"
717,2,Jun-2003,NULL
718,6,Mar-2006,"Spring 2006"
719,23,Feb-2006,"Winter 2006"
720,1,Mar-1986,NULL
721,1,Aug-1992,NULL
722,1,Aug-2005,NULL
723,39,Jul-1991,"Summer 1991"
724,1,Apr-1996,NULL
725,3,Sep-2001,NULL
726,12,Jan-2006,"Winter 2006"
727,13,Oct-2001,"Fall 2001"
728,13,Apr-2000,"Spring 2000"
729,26,Jan-2004,"Winter 2004"
730,1,Aug-2005,NULL
731,3,Dec-1996,NULL
732,24,Apr-1998,"Spring 1998"
733,6,Dec-2005,NULL
734,13,Jan-2001,"Winter 2001"
735,291,Apr-1989,"Spring 1989"
736,1,Jan-2005,NULL
737,1,Jan-2005,NULL
738,6,Jul-1999,NULL
739,13,Jan-2006,"Winter 2006"
740,12,May-1997,NULL
741,1,May-2005,NULL
742,110,Jan-1988,NULL
743,1,May-2002,NULL
744,2,Mar-2001,NULL
745,1,Jun-2001,NULL
746,6,May-2003,NULL
747,4,Dec-2005,NULL
748,2,Apr-2004,NULL
749,2,Mar-2001,NULL
750,2,Jan-2004,NULL
751,24,Oct-2001,"Fall 2001"
752,24,Apr-2000,"Spring 2000"
753,13,Oct-2002,"Fall 2002"
754,1,Mar-2006,NULL
755,13,Oct-2002,"Fall 2002"
756,26,Apr-2001,"Spring 2001"
757,4,Mar-2006,NULL
758,13,Jul-2003,"Summer 2003"
759,2,Jun-1999,NULL
760,12,Apr-2003,"Spring 2003"
761,16,Sep-1999,"Summer 1999"
762,10,Sep-1992,NULL
763,1,Aug-2004,NULL
764,51,Apr-2006,"Spring 2006"
765,26,Apr-2006,"Spring 2006"
766,1,Feb-2006,NULL
767,14,Apr-2006,"Spring 2006"
768,13,Apr-2006,"Spring 2006"
769,10,Dec-1992,NULL
770,50,Sep-1995,"Fall 1995"
771,26,Apr-2006,"Spring 2006"
772,12,Apr-2006,"Spring 2006"
773,26,Apr-2006,"Spring 2006"
774,26,Apr-2006,"Spring 2006"
775,25,Apr-2006,"Spring 2006"
776,24,Oct-2005,"Fall 2005"
777,48,Apr-2006,"Spring 2006"
778,12,Apr-2006,"Spring 2006"
