anime_id,rating_id,rating,rating_description
6340,2,PG13,"Teens 13 or older"
6341,2,PG13,"Teens 13 or older"
6342,2,PG13,"Teens 13 or older"
6343,1,R17+,"violence & profanity"
6344,4,R+,"Mild Nudity"
6345,5,G,"All Ages"
6346,1,R17+,"violence & profanity"
6347,2,PG13,"Teens 13 or older"
6348,6,Rx,Hentai
6349,2,PG13,"Teens 13 or older"
6350,2,PG13,"Teens 13 or older"
6351,2,PG13,"Teens 13 or older"
6352,5,G,"All Ages"
6353,2,PG13,"Teens 13 or older"
6354,1,R17+,"violence & profanity"
6355,3,PG,Children
6356,4,R+,"Mild Nudity"
6357,5,G,"All Ages"
6358,5,G,"All Ages"
6359,2,PG13,"Teens 13 or older"
6360,NULL,NULL,NULL
6361,5,G,"All Ages"
6362,5,G,"All Ages"
6363,5,G,"All Ages"
6364,5,G,"All Ages"
6365,5,G,"All Ages"
6366,3,PG,Children
6367,6,Rx,Hentai
6368,5,G,"All Ages"
6369,5,G,"All Ages"
6370,6,Rx,Hentai
6371,3,PG,Children
6372,2,PG13,"Teens 13 or older"
6373,6,Rx,Hentai
6374,2,PG13,"Teens 13 or older"
6375,1,R17+,"violence & profanity"
6376,6,Rx,Hentai
6377,1,R17+,"violence & profanity"
6378,4,R+,"Mild Nudity"
6379,4,R+,"Mild Nudity"
6380,NULL,NULL,NULL
6381,1,R17+,"violence & profanity"
6382,5,G,"All Ages"
6383,2,PG13,"Teens 13 or older"
6384,2,PG13,"Teens 13 or older"
6385,5,G,"All Ages"
6386,5,G,"All Ages"
6387,2,PG13,"Teens 13 or older"
6388,2,PG13,"Teens 13 or older"
6389,2,PG13,"Teens 13 or older"
6390,5,G,"All Ages"
6391,2,PG13,"Teens 13 or older"
6392,5,G,"All Ages"
6393,2,PG13,"Teens 13 or older"
6394,2,PG13,"Teens 13 or older"
6395,NULL,NULL,NULL
6396,5,G,"All Ages"
6397,2,PG13,"Teens 13 or older"
6398,2,PG13,"Teens 13 or older"
6399,2,PG13,"Teens 13 or older"
6400,2,PG13,"Teens 13 or older"
6401,6,Rx,Hentai
6402,5,G,"All Ages"
6403,2,PG13,"Teens 13 or older"
6404,2,PG13,"Teens 13 or older"
6405,2,PG13,"Teens 13 or older"
6406,4,R+,"Mild Nudity"
6407,2,PG13,"Teens 13 or older"
6408,2,PG13,"Teens 13 or older"
6409,5,G,"All Ages"
6410,6,Rx,Hentai
6411,2,PG13,"Teens 13 or older"
6412,5,G,"All Ages"
6413,5,G,"All Ages"
6414,2,PG13,"Teens 13 or older"
6415,2,PG13,"Teens 13 or older"
6416,2,PG13,"Teens 13 or older"
6417,5,G,"All Ages"
6418,3,PG,Children
6419,2,PG13,"Teens 13 or older"
6420,2,PG13,"Teens 13 or older"
6421,2,PG13,"Teens 13 or older"
6422,2,PG13,"Teens 13 or older"
6423,NULL,NULL,NULL
6424,2,PG13,"Teens 13 or older"
6425,2,PG13,"Teens 13 or older"
6426,3,PG,Children
6427,NULL,NULL,NULL
6428,5,G,"All Ages"
6429,6,Rx,Hentai
6430,2,PG13,"Teens 13 or older"
6431,3,PG,Children
6432,3,PG,Children
6433,3,PG,Children
6434,5,G,"All Ages"
6435,4,R+,"Mild Nudity"
6436,2,PG13,"Teens 13 or older"
6437,4,R+,"Mild Nudity"
6438,2,PG13,"Teens 13 or older"
6439,4,R+,"Mild Nudity"
6440,1,R17+,"violence & profanity"
6441,2,PG13,"Teens 13 or older"
6442,2,PG13,"Teens 13 or older"
6443,4,R+,"Mild Nudity"
6444,6,Rx,Hentai
6445,5,G,"All Ages"
6446,2,PG13,"Teens 13 or older"
6447,3,PG,Children
6448,3,PG,Children
6449,5,G,"All Ages"
6450,3,PG,Children
6451,5,G,"All Ages"
6452,2,PG13,"Teens 13 or older"
6453,2,PG13,"Teens 13 or older"
6454,1,R17+,"violence & profanity"
6455,2,PG13,"Teens 13 or older"
6456,NULL,NULL,NULL
6457,2,PG13,"Teens 13 or older"
6458,3,PG,Children
6459,3,PG,Children
6460,5,G,"All Ages"
6461,2,PG13,"Teens 13 or older"
6462,5,G,"All Ages"
6463,2,PG13,"Teens 13 or older"
6464,4,R+,"Mild Nudity"
6465,3,PG,Children
6466,2,PG13,"Teens 13 or older"
6467,3,PG,Children
6468,3,PG,Children
6469,4,R+,"Mild Nudity"
6470,6,Rx,Hentai
6471,2,PG13,"Teens 13 or older"
6472,1,R17+,"violence & profanity"
6473,5,G,"All Ages"
6474,3,PG,Children
6475,2,PG13,"Teens 13 or older"
6476,6,Rx,Hentai
6477,6,Rx,Hentai
6478,3,PG,Children
6479,3,PG,Children
6480,1,R17+,"violence & profanity"
