anime_id,score_10,score_9,score_8,score_7,score_6,score_5,score_4,score_3,score_2,score_1
12673,5,2,8,15,45,24,12,4,4,3
12674,10539,15349,37750,57055,34409,17135,8058,3809,2181,1659
12675,394,223,579,1281,1327,726,250,123,56,45
12676,7,2,2,10,28,49,26,7,8,23
12677,19,7,18,102,155,183,119,68,37,44
12678,10,3,7,23,35,51,22,10,9,8
12679,7,0,5,1,2,11,1,2,2,7
12680,6,0,6,3,6,7,4,4,2,5
12681,26,24,59,168,153,95,22,17,4,5
12682,69,43,107,178,253,212,122,68,43,60
12683,226,165,289,500,379,253,114,74,35,30
12684,0,0,0,0,0,0,0,0,0,0
12685,412,331,602,968,757,484,169,69,54,83
12686,20143,41422,88445,74524,26659,9754,2626,904,421,371
12687,111,125,304,662,574,353,156,64,31,36
12688,885,770,1639,3264,3781,2102,543,205,118,189
12689,19,5,13,12,25,24,15,7,14,19
12690,9,2,13,33,64,63,16,17,10,15
12691,9,2,5,12,26,46,22,8,6,14
12692,6,1,6,19,32,42,30,16,9,14
12693,6,0,0,1,7,14,6,9,4,12
12694,8077,17494,35739,26926,8932,3143,855,264,129,139
12695,455,645,1153,1421,788,465,149,66,36,63
12696,3,0,4,2,8,2,4,1,2,5
12697,4,0,1,1,5,6,7,5,5,7
12698,5,0,5,1,3,4,0,0,0,3
12699,10,1,1,2,3,6,0,0,3,4
12700,3,0,4,4,1,3,0,2,0,2
12701,22,8,13,19,24,16,7,7,1,6
12702,10,4,1,2,11,18,1,11,1,11
12703,5,1,1,14,30,43,30,6,14,14
12704,9,2,7,32,52,99,44,14,25,30
12705,5,0,0,4,6,10,6,0,4,6
12706,39298,67835,141910,145282,63538,26468,11974,4999,2549,1989
12707,6402,9892,22381,37151,28228,15341,8930,3909,2104,1668
12708,4,0,0,4,10,11,4,5,1,5
12709,6,0,1,10,29,24,9,7,2,7
12710,144,100,214,363,332,243,92,65,42,50
12711,45,27,70,158,281,220,51,20,19,23
12712,14,13,53,94,110,54,42,29,7,5
12713,78,40,70,155,139,73,34,28,23,36
12714,15,9,23,43,45,36,5,6,4,5
12715,10972,12817,22190,17734,6078,2273,867,309,131,98
12716,4,0,3,6,5,15,2,3,2,4
12717,29,27,34,58,88,78,25,15,11,15
12718,3,0,0,3,5,2,2,1,0,4
12719,14,4,11,17,39,37,19,5,5,2
12720,4,0,5,8,26,31,10,8,4,11
12721,3,5,1,11,27,45,10,9,13,10
12722,4,0,2,9,25,35,17,7,12,7
12723,5,1,5,8,37,45,25,11,9,7
12724,144,102,221,345,294,195,90,44,28,46
12725,11,1,0,8,6,8,5,3,2,10
12726,42,18,34,60,62,62,19,8,7,14
12727,1900,2286,4652,5807,2925,1402,680,319,182,116
12728,494,428,688,931,558,344,137,64,46,44
12729,2943,3827,9531,16757,12347,6637,3791,1715,970,751
12730,939,1194,2091,3769,3164,1704,978,375,183,137
12731,6,1,14,47,67,72,26,12,9,16
12732,131,205,529,1238,1125,567,254,114,56,34
12733,5914,5980,10368,9934,4625,2244,963,390,194,242
12734,13,7,26,49,99,108,75,30,39,28
12735,31,16,30,47,72,96,50,28,34,21
12736,228,375,1048,1671,819,278,73,29,14,24
12737,16,8,24,50,75,57,15,22,10,12
12738,10,0,0,5,17,24,12,8,8,9
12739,4,1,4,18,49,36,16,10,5,10
12740,5230,11352,26069,25289,9207,3367,1010,298,158,202
12741,5,0,7,6,17,13,6,3,6,9
12742,3,0,0,1,3,1,0,2,0,6
12743,5,0,7,17,27,41,17,12,11,12
12744,5,0,4,9,25,33,19,10,5,7
12745,6,1,1,14,28,31,20,13,9,4
12746,38,16,49,122,199,91,30,19,10,11
12747,1656,1121,2512,4128,2091,954,367,203,103,92
12748,4,1,1,4,8,10,13,5,2,12
12749,7,0,2,7,10,22,10,1,10,11
12750,5,1,7,8,8,7,0,1,1,2
12751,678,497,807,834,433,272,58,45,21,26
12752,5,0,7,8,15,14,0,4,3,6
12753,3,0,0,8,5,4,3,2,5,3
12754,373,212,433,797,1019,663,293,183,140,231
12755,16,6,13,25,34,13,9,2,8,8
12756,2107,3252,7566,8843,3330,1305,350,150,63,63
12757,19,5,7,21,33,27,8,6,2,8
12758,7,1,0,3,0,1,2,1,0,2
12759,4,1,1,3,0,0,0,0,0,2
12760,6,1,1,3,1,2,0,0,1,1
12761,3,0,5,1,1,1,1,0,1,2
12762,3,0,0,0,1,0,1,0,2,1
12763,9,2,4,11,11,22,2,4,0,10
12764,3,0,0,1,0,3,1,0,0,4
12765,3,0,0,1,1,2,1,0,0,4
12766,544,479,986,1226,659,388,135,68,50,84
12767,223,154,318,554,438,260,99,62,33,31
12768,3,1,5,2,0,0,1,0,0,3
12769,6,0,1,2,2,1,2,7,1,2
12770,4,0,0,3,1,6,1,1,2,5
12771,6,0,0,4,19,17,9,5,7,6
12772,5,0,1,6,4,4,0,1,1,2
12773,4,1,1,1,1,4,0,0,1,4
12774,10,5,4,4,8,4,0,0,1,5
12775,5,0,4,0,2,3,1,0,3,2
12776,5,1,1,1,3,2,3,6,3,6
12777,6,0,6,5,4,9,3,1,2,5
12778,4,1,6,1,3,0,1,1,0,2
12779,5,0,3,3,1,3,1,1,2,2
12780,5,1,0,1,1,4,1,1,6,2
12781,435,615,1251,1596,885,505,280,121,56,86
12782,5,1,2,4,11,6,5,3,3,3
12783,6,0,0,5,10,6,0,2,3,4
12784,4,1,0,1,3,2,0,1,0,5
12785,4,0,5,2,1,4,1,6,2,9
12786,3,0,0,0,2,2,1,0,0,3
12787,3,0,0,3,2,0,1,1,0,4
12788,4,0,5,1,3,0,1,0,0,3
12789,4,1,1,3,0,0,0,0,0,3
12790,4,1,0,1,3,1,0,0,0,3
12791,4,0,3,5,0,0,0,0,0,1
12792,3,0,0,2,2,4,2,0,0,4
12793,4,0,0,1,2,2,1,0,0,3
12794,4,0,1,1,1,0,1,1,0,4
12795,6,0,5,1,3,3,0,1,0,5
12796,6,0,0,1,3,0,1,0,0,4
12797,42685,61980,77572,47081,18336,8000,3331,1106,464,493
12798,54,23,57,140,133,91,26,14,5,14
12799,2057,2588,4810,4244,2017,752,326,112,49,93
12800,114,78,236,625,1024,1388,1193,849,709,606
12801,9,1,2,3,5,17,12,15,5,10
12802,5,0,1,4,4,3,2,2,1,2
12803,331,175,386,1070,1274,774,330,112,78,114
12804,43785,70422,128002,95964,34623,12610,5257,1973,885,767
12805,7,2,5,7,6,4,0,1,0,2
12806,1490,2680,5110,3451,1009,336,93,42,13,24
12807,3580,6924,18193,33508,25076,13209,6640,2860,1335,813
12808,14,15,14,49,82,81,38,20,10,16
12809,1936,3034,7246,7758,3519,1535,477,205,89,81
12810,5174,9280,18284,15978,6322,2846,1082,388,156,181
12811,59,28,55,111,88,83,13,8,10,9
12812,522,559,1362,1124,282,118,32,13,5,28
12813,3,0,0,3,2,3,0,0,1,3
12814,4,0,2,2,0,0,0,0,0,1
12815,156,104,244,324,126,43,13,4,3,8
12816,6,0,1,4,4,9,0,2,0,2
12817,3,0,1,1,2,4,0,0,0,4
12818,4,0,0,7,1,0,0,0,0,1
12819,8,0,0,5,2,1,1,0,0,1
12820,3,0,1,1,3,5,0,2,0,3
12821,6,0,6,3,3,3,1,0,0,6
12822,6,0,5,4,6,12,3,4,3,8
12823,3,0,4,1,2,1,0,0,1,3
12824,5,0,1,1,2,3,1,1,1,2
12825,4,0,1,1,2,3,2,1,0,3
12826,3,1,0,2,5,0,0,0,0,1
12827,22,18,38,58,21,12,6,4,1,5
12828,3,0,0,1,2,1,0,2,0,1
12829,5,0,0,2,4,3,1,0,0,4
12830,5,0,3,4,0,0,0,0,0,1
12831,3,0,1,6,2,3,1,1,1,4
12832,3,0,3,2,3,4,0,0,1,5
12833,4,4,1,2,3,2,0,0,1,5
12834,3,0,0,1,1,1,1,1,1,3
12835,2747,2833,4668,2867,832,330,58,63,12,167
12836,2640,2674,4249,2579,707,296,53,14,54,176
12837,3,0,1,0,1,6,5,2,5,4
12838,18,12,28,52,69,92,28,18,11,9
12839,104,78,252,531,907,940,616,304,249,157
12840,10,4,16,39,69,54,11,14,4,12
12841,9,4,12,18,21,20,2,4,2,5
12842,417,229,419,912,988,571,196,89,63,49
12843,5,0,2,4,6,16,20,12,6,13
12844,59124,90144,109879,73102,32020,14397,9140,4183,2944,3329
12845,4,0,4,5,5,9,2,1,1,4
12846,556,282,401,948,930,708,256,99,77,116
12847,4,0,3,3,3,2,2,0,0,1
12848,4,0,0,3,2,1,0,0,0,2
12849,8,0,4,5,7,7,2,2,1,5
12850,4,2,3,3,7,7,3,3,0,4
12851,3,0,0,1,1,2,0,0,1,2
12852,11,3,8,16,13,18,8,3,0,4
